nr,company_name,location_hq,region,usstate,country,continent,total_layoffs,announced_date,pct_laid_off,company_size_before_layoffs,company_size_after_layoffs,industry,funding_stage,funds_raised_m,year,latitude,longitude,month,quarter,severity
68,PatientPop,Los Angeles,other,California,USA,North America,100.0,2020-04-01,20.0,500.0,400.0,Healthcare,Series B,75.0,2020,34.0536909,-118.242766,4,2020Q2,Major (15-30%)
69,Sensibill,Toronto,other,Ontario,Canada,North America,17.0,2020-04-01,20.0,85.0,68.0,Finance,Series B,50.0,2020,43.6534817,-79.3839347,4,2020Q2,Major (15-30%)
70,Showpad,Chicago,other,Illinois,USA,North America,52.0,2020-04-01,12.0,433.0,381.0,Marketing,Series D,159.0,2020,41.8755616,-87.6244212,4,2020Q2,Moderate (5-15%)
71,Usermind,Seattle,Cascadia,Washington,USA,North America,15.0,2020-04-01,25.0,60.0,45.0,Marketing,Series C,46.0,2020,47.6038321,-122.330062,4,2020Q2,Major (15-30%)
72,Wonolo,San Francisco,San Francisco Bay Area,California,USA,North America,46.0,2020-04-01,13.0,354.0,308.0,HR,Series C,52.0,2020,37.7792588,-122.4193286,4,2020Q2,Moderate (5-15%)
73,1stdibs,New York City,other,New York,USA,North America,70.0,2020-04-02,17.0,412.0,342.0,Retail,Series D,253.0,2020,40.7127281,-74.0060152,4,2020Q2,Major (15-30%)
74,ClassPass,New York City,other,New York,USA,North America,154.0,2020-04-02,22.0,700.0,546.0,Fitness,Series E,549.0,2020,40.7127281,-74.0060152,4,2020Q2,Major (15-30%)
75,Coding Dojo,Seattle,Cascadia,Washington,USA,North America,7.0,2020-04-02,7.0,100.0,93.0,Education,Unknown,2.0,2020,47.6038321,-122.330062,4,2020Q2,Moderate (5-15%)
76,Dynamic Signal,San Bruno,San Francisco Bay Area,California,USA,North America,35.0,2020-04-02,19.0,184.0,149.0,HR,Series E,114.0,2020,37.6248536,-122.4145986,4,2020Q2,Major (15-30%)
77,eGym,Munich,other,Bayern,Germany,Europe,100.0,2020-04-02,25.0,400.0,300.0,Fitness,Series D,109.0,2020,48.1371079,11.5753822,4,2020Q2,Major (15-30%)
78,Industrious,New York City,other,New York,USA,North America,90.0,2020-04-02,20.0,450.0,360.0,Real Estate,Series D,222.0,2020,40.7127281,-74.0060152,4,2020Q2,Major (15-30%)
79,Instamojo,Bengaluru,other,Karnataka,India,Asia,6.0,2020-04-02,6.0,100.0,94.0,Finance,Unknown,8.0,2020,12.98815675,77.62260004,4,2020Q2,Moderate (5-15%)
80,Jobcase,Boston,other,Massachusetts,USA,North America,39.0,2020-04-02,20.0,195.0,156.0,HR,Private Equity,118.0,2020,42.3554334,-71.060511,4,2020Q2,Major (15-30%)
81,Katerra,Menlo Park,San Francisco Bay Area,California,USA,North America,240.0,2020-04-02,3.0,8000.0,7760.0,Construction,Series D,1200.0,2020,37.4519671,-122.177992,4,2020Q2,Minor (<5%)
82,MindBody,San Luis Obispo,other,California,USA,North America,700.0,2020-04-02,35.0,2000.0,1300.0,Fitness,Post-IPO,114.0,2020,35.3540209,-120.375716,4,2020Q2,Severe (30%+)
83,Ritual,Toronto,other,Ontario,Canada,North America,196.0,2020-04-02,54.0,363.0,167.0,Food,Series C,112.0,2020,43.6534817,-79.3839347,4,2020Q2,Severe (30%+)
84,Sauce Labs,San Francisco,San Francisco Bay Area,California,USA,North America,30.0,2020-04-02,15.0,200.0,170.0,Infrastructure,Unknown,151.0,2020,37.7792588,-122.4193286,4,2020Q2,Major (15-30%)
85,Synergysuite,Salt Lake City,other,Utah,USA,North America,5.0,2020-04-02,7.0,71.0,66.0,Food,Series A,6.0,2020,40.7596198,-111.886797,4,2020Q2,Moderate (5-15%)
86,The Predictive Investment,Boston,other,Massachusetts,USA,North America,59.0,2020-04-02,25.0,236.0,177.0,HR,Acquired,65.0,2020,42.3554334,-71.060511,4,2020Q2,Major (15-30%)
87,ThirdLove,San Francisco,San Francisco Bay Area,California,USA,North America,65.0,2020-04-02,30.0,217.0,152.0,Retail,Series B,68.0,2020,37.7792588,-122.4193286,4,2020Q2,Severe (30%+)
88,TripleLift,New York City,other,New York,USA,North America,23.0,2020-04-02,7.0,329.0,306.0,Marketing,Series B,16.0,2020,40.7127281,-74.0060152,4,2020Q2,Moderate (5-15%)
89,Arrive Logistics,Austin,other,Texas,USA,North America,75.0,2020-04-03,7.0,1071.0,996.0,Logistics,Series B,35.0,2020,30.2711286,-97.7436995,4,2020Q2,Moderate (5-15%)
90,Bustle Digital Group,New York City,other,New York,USA,North America,24.0,2020-04-03,8.0,300.0,276.0,Media,Series E,80.0,2020,40.7127281,-74.0060152,4,2020Q2,Moderate (5-15%)
91,D2iQ,San Francisco,San Francisco Bay Area,California,USA,North America,34.0,2020-04-03,13.0,262.0,228.0,Infrastructure,Series D,247.0,2020,37.7792588,-122.4193286,4,2020Q2,Moderate (5-15%)
92,Gympass,Sao Paulo,other,State of São Paulo,Brazil,South America,467.0,2020-04-03,33.0,1415.0,948.0,Fitness,Series D,300.0,2020,-23.5506507,-46.6333824,4,2020Q2,Severe (30%+)
93,Jetty,New York City,other,New York,USA,North America,35.0,2020-04-03,40.0,88.0,53.0,Finance,Series B,40.0,2020,40.7127281,-74.0060152,4,2020Q2,Severe (30%+)
94,Minted,San Francisco,San Francisco Bay Area,California,USA,North America,147.0,2020-04-03,37.0,397.0,250.0,Retail,Series E,297.0,2020,37.7792588,-122.4193286,4,2020Q2,Severe (30%+)
95,Opencare,Toronto,other,Ontario,Canada,North America,18.0,2020-04-03,25.0,72.0,54.0,Healthcare,Series A,24.0,2020,43.6534817,-79.3839347,4,2020Q2,Major (15-30%)
96,Salsify,Boston,other,Massachusetts,USA,North America,60.0,2020-04-03,13.0,462.0,402.0,Retail,Series D,97.0,2020,42.3554334,-71.060511,4,2020Q2,Moderate (5-15%)
97,Sojern,San Francisco,San Francisco Bay Area,California,USA,North America,300.0,2020-04-03,50.0,600.0,300.0,Marketing,Series D,162.0,2020,37.7792588,-122.4193286,4,2020Q2,Severe (30%+)
98,Iflix,Kuala Lumpur,other,non,Malaysia,Asia,50.0,2020-04-04,12.0,417.0,367.0,Consumer,Unknown,348.0,2020,3.1516964,101.6942371,4,2020Q2,Moderate (5-15%)
99,Astra,Alameda,San Francisco Bay Area,California,USA,North America,40.0,2020-04-05,25.0,160.0,120.0,Aerospace,Unknown,100.0,2020,37.6090291,-121.899142,4,2020Q2,Major (15-30%)
100,Borrowell,Toronto,other,Ontario,Canada,North America,15.0,2020-04-06,20.0,75.0,60.0,Finance,Series B,72.0,2020,43.6534817,-79.3839347,4,2020Q2,Major (15-30%)
101,BounceX,New York City,other,New York,USA,North America,77.0,2020-04-06,20.0,385.0,308.0,Marketing,Series B,75.0,2020,40.7127281,-74.0060152,4,2020Q2,Major (15-30%)
102,BusBud,Montreal,other,Quebec,Canada,North America,23.0,2020-04-06,32.0,72.0,49.0,Transportation,Series B,21.0,2020,45.5031824,-73.5698065,4,2020Q2,Severe (30%+)
103,Cogito,Boston,other,Massachusetts,USA,North America,24.0,2020-04-06,14.0,171.0,147.0,Support,Series C,92.0,2020,42.3554334,-71.060511,4,2020Q2,Moderate (5-15%)
104,Metromile,San Francisco,San Francisco Bay Area,California,USA,North America,100.0,2020-04-06,33.0,303.0,203.0,Finance,Series E,293.0,2020,37.7792588,-122.4193286,4,2020Q2,Severe (30%+)
105,PerkSpot,Chicago,other,Illinois,USA,North America,10.0,2020-04-06,10.0,100.0,90.0,HR,Private Equity,50.0,2020,41.8755616,-87.6244212,4,2020Q2,Moderate (5-15%)
106,Rock Content,Belo Horizonte,other,State of Minas Gerais,Brazil,South America,100.0,2020-04-06,20.0,500.0,400.0,Marketing,Series A,1.0,2020,-19.9227318,-43.9450948,4,2020Q2,Major (15-30%)
107,Wordstream,Boston,other,Massachusetts,USA,North America,26.0,2020-04-06,10.0,260.0,234.0,Marketing,Acquired,28.0,2020,42.3554334,-71.060511,4,2020Q2,Moderate (5-15%)
108,Away,New York City,other,New York,USA,North America,60.0,2020-04-07,10.0,600.0,540.0,Retail,Series D,181.0,2020,40.7127281,-74.0060152,4,2020Q2,Moderate (5-15%)
109,Branch Metrics,Palo Alto,San Francisco Bay Area,California,USA,North America,100.0,2020-04-07,20.0,500.0,400.0,Marketing,Series E,367.0,2020,37.4443293,-122.1598465,4,2020Q2,Major (15-30%)
110,ezCater,Boston,other,Massachusetts,USA,North America,400.0,2020-04-07,44.0,909.0,509.0,Food,Series D,319.0,2020,42.3554334,-71.060511,4,2020Q2,Severe (30%+)
111,Group Nine Media,New York City,other,New York,USA,North America,50.0,2020-04-07,7.0,714.0,664.0,Media,Unknown,190.0,2020,40.7127281,-74.0060152,4,2020Q2,Moderate (5-15%)
112,Ibotta,Denver,other,Colorado,USA,North America,87.0,2020-04-07,15.0,580.0,493.0,Retail,Series D,85.0,2020,39.7392364,-104.984862,4,2020Q2,Major (15-30%)
113,MediaMath,New York City,other,New York,USA,North America,53.0,2020-04-07,8.0,663.0,610.0,Marketing,Private Equity,607.0,2020,40.7127281,-74.0060152,4,2020Q2,Moderate (5-15%)
114,Redfin,Seattle,Cascadia,Washington,USA,North America,236.0,2020-04-07,7.0,3371.0,3135.0,Real Estate,Post-IPO,319.0,2020,47.6038321,-122.330062,4,2020Q2,Moderate (5-15%)
115,Sage Therapeutics,Boston,other,Massachusetts,USA,North America,340.0,2020-04-07,53.0,642.0,302.0,Healthcare,Post-IPO,438.0,2020,42.3554334,-71.060511,4,2020Q2,Severe (30%+)
116,Toast,Boston,other,Massachusetts,USA,North America,1300.0,2020-04-07,50.0,2600.0,1300.0,Food,Series F,902.0,2020,42.3554334,-71.060511,4,2020Q2,Severe (30%+)
117,Button,New York City,other,New York,USA,North America,48.0,2020-04-08,35.0,137.0,89.0,Marketing,Series C,64.0,2020,40.7127281,-74.0060152,4,2020Q2,Severe (30%+)
118,Eden / Managed …,New York City,other,New York,USA,North America,40.0,2020-04-08,40.0,100.0,60.0,Real Estate,Series B,40.0,2020,40.7127281,-74.0060152,4,2020Q2,Severe (30%+)
119,Eventbrite,San Francisco,San Francisco Bay Area,California,USA,North America,500.0,2020-04-08,45.0,1111.0,611.0,Consumer,Post-IPO,332.0,2020,37.7792588,-122.4193286,4,2020Q2,Severe (30%+)
120,GetNinjas,Sao Paulo,other,State of São Paulo,Brazil,South America,11.0,2020-04-08,10.0,110.0,99.0,Consumer,Series B,16.0,2020,-23.5506507,-46.6333824,4,2020Q2,Moderate (5-15%)
121,Kenoby,Sao Paulo,other,State of São Paulo,Brazil,South America,18.0,2020-04-08,16.0,113.0,95.0,HR,Unknown,23.0,2020,-23.5506507,-46.6333824,4,2020Q2,Major (15-30%)
122,Lever,San Francisco,San Francisco Bay Area,California,USA,North America,86.0,2020-04-08,40.0,215.0,129.0,HR,Series C,72.0,2020,37.7792588,-122.4193286,4,2020Q2,Severe (30%+)
123,Meesho,Bengaluru,other,Karnataka,India,Asia,200.0,2020-04-08,28.0,714.0,514.0,Retail,Series D,215.0,2020,12.98815675,77.62260004,4,2020Q2,Major (15-30%)
124,Quantcast,San Francisco,San Francisco Bay Area,California,USA,North America,30.0,2020-04-08,5.0,600.0,570.0,Marketing,Series C,65.0,2020,37.7792588,-122.4193286,4,2020Q2,Moderate (5-15%)
125,Scoop,San Francisco,San Francisco Bay Area,California,USA,North America,92.0,2020-04-08,33.0,279.0,187.0,Transportation,Series C,95.0,2020,37.7792588,-122.4193286,4,2020Q2,Severe (30%+)
126,Spyce,Boston,other,Massachusetts,USA,North America,4.0,2020-04-08,12.0,33.0,29.0,Food,Series A,26.0,2020,42.3554334,-71.060511,4,2020Q2,Moderate (5-15%)
127,Unbabel,Lisbon,other,non,Portugal,Europe,80.0,2020-04-08,35.0,229.0,149.0,Support,Series C,91.0,2020,38.7077507,-9.1365919,4,2020Q2,Severe (30%+)
128,Unison,San Francisco,San Francisco Bay Area,California,USA,North America,89.0,2020-04-08,45.0,198.0,109.0,Finance,Series B,40.0,2020,37.7792588,-122.4193286,4,2020Q2,Severe (30%+)
129,VideoAmp,Los Angeles,other,California,USA,North America,21.0,2020-04-08,10.0,210.0,189.0,Marketing,Series C,106.0,2020,34.0536909,-118.242766,4,2020Q2,Moderate (5-15%)
130,Clinc,Ann Arbor,other,Michigan,USA,North America,40.0,2020-04-09,32.0,125.0,85.0,Support,Series B,59.0,2020,42.2813722,-83.7484616,4,2020Q2,Severe (30%+)
131,Code42,Minneapolis,other,Minnesota,USA,North America,25.0,2020-04-09,5.0,500.0,475.0,Data,Series B,138.0,2020,44.9772995,-93.2654692,4,2020Q2,Moderate (5-15%)
132,Domo,Salt Lake City,other,Utah,USA,North America,90.0,2020-04-09,10.0,900.0,810.0,Data,Post-IPO,689.0,2020,40.7596198,-111.886797,4,2020Q2,Moderate (5-15%)
133,LoopMe,London,other,England,UK,Europe,8.0,2020-04-09,4.0,200.0,192.0,Marketing,Unknown,32.0,2020,51.4893335,-0.144055085,4,2020Q2,Minor (<5%)
134,Matterport,Sunnyvale,San Francisco Bay Area,California,USA,North America,90.0,2020-04-09,34.0,265.0,175.0,Data,Series D,114.0,2020,37.3688301,-122.036349,4,2020Q2,Severe (30%+)
135,Mejuri,Toronto,other,Ontario,Canada,North America,36.0,2020-04-09,15.0,240.0,204.0,Retail,Series B,28.0,2020,43.6534817,-79.3839347,4,2020Q2,Major (15-30%)
136,Omie,Sao Paulo,other,State of São Paulo,Brazil,South America,136.0,2020-04-09,31.0,439.0,303.0,Finance,Series B,26.0,2020,-23.5506507,-46.6333824,4,2020Q2,Severe (30%+)
137,OneTrust,Atlanta,other,Georgia,USA,North America,150.0,2020-04-09,10.0,1500.0,1350.0,Legal,Series B,410.0,2020,33.7489924,-84.3902644,4,2020Q2,Moderate (5-15%)
138,Yelp,San Francisco,San Francisco Bay Area,California,USA,North America,1000.0,2020-04-09,17.0,5882.0,4882.0,Consumer,Post-IPO,56.0,2020,37.7792588,-122.4193286,4,2020Q2,Major (15-30%)
139,Atsu,Seattle,Cascadia,Washington,USA,North America,6.0,2020-04-10,100.0,6.0,0.0,Infrastructure,Unknown,1.0,2020,47.6038321,-122.330062,4,2020Q2,Severe (30%+)
140,Frontdesk,Milwaukee,other,Wisconsin,USA,North America,35.0,2020-04-10,16.0,219.0,184.0,Travel,Unknown,3.0,2020,43.0386475,-87.9090751,4,2020Q2,Major (15-30%)
141,NuoDB,Boston,other,Massachusetts,USA,North America,20.0,2020-04-10,29.0,69.0,49.0,Data,Unknown,85.0,2020,42.3554334,-71.060511,4,2020Q2,Major (15-30%)
